#Denominación,Programa,Económica,Fecha,NIF/CIF,Nombre Empresa,Descripción,Importe,Descuentos,j,k,l,m
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 20181011 - C/BATRES, 2  - CONCEJALIA SERVICIOS GENERALES - FACTURACION SEPTIEMBRE/DICIEMBRE  - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - - NUMERO DE FAC.: FE16321221223858 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","199,35","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 20181004 - C/RIO PERALES, 30 - CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE  - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - - NUMERO DE FAC.: FE16321221223818 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","23,81","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 20181982 - C/ISLANDIA, 2  - CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE  - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - - NUMERO DE FAC.: FE16321221679132 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","1.441,42","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 18718593 - PZA. MAYOR, 1 - CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - NUMERO DE FAC.: FE16321220303342 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","853,61","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 18718633 - C/ALICANTE, S/N - CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE  - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - - NUMERO DE FAC.: FE16321220303350 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","744,74","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 18718705 - C/ISLANDIA, 1 - CONCEJALIA SERVICIOS GENERALES - PERIODO NOVIEMBRE/DICIEMBRE - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - NUMERO DE FAC.: FE16321220143137 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","1.222,62","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 20181532 - C/SIERRA DE ALCARAZ, 28 - CONCEJALIA DE SERVICIOS GENERALES - FACTURACIÓN OCTUBRE/DICIEMBRE- INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - NUMERO DE FAC.: FE16321221223838 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 10/01/2017","8,16","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 20181433 - C/VALDELACEA, 33 - CONCEJALIA DE SERVICIOS GENERALES - FACTURA OCTUBRE/DICIEMBRE- INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - NUMERO DE FAC.: FE16321221223844 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","502,86","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 20181297 - CNO. BOSQUE, 41 - CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE  - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - - NUMERO DE FAC.: FE16321221223815 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","462,43","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 18718603 - DOLORES CASTILLEJO DQ. ALMENARA, 4 -  CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - NUMERO DE FAC.: FE16321220303345 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","1.409,37","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 18718838 - C/MARBELLA, 29 - CONCEJALIA SERVICIOS GENERALES - FACTURACION NOVIEMBRE/DICIEMBRE  - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - - NUMERO DE FAC.: FE16321220303363 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","733,84","0,00",,,,
,9201 .22100  ,,03/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 18718700 - C/CORCUBION, 1 - CONCEJALIA SERVICIOS GENERALES - PERIODO NOVIEMBRE/DICIEMBRE - INFORME INTERVENCION 57/2017 - APROBADA POR JGL 08/02/17 - NUMERO DE FAC.: FE16321220143136 DE FECHA OPERACION: 08/02/2017 Y FECHA REG. INTERVENCIÓN: 09/01/2017","903,64","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139348372 - C/ BELGICA - CONCEJALIA S. GENERALES - FACTURACION ENE/FEB - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321225199105 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 20/02/2017,"646,41","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 159642716 - C/ BENICARLO - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785950 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"140,25","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718691 - C/ PUNTA UMBRIA - CONCEJALIA S. GENERALES -  FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862928 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.049,37","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718831 - C/ MARBELLA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222473191 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"440,54","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139734769 - C/ ALMERIA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785903 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.480,92","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718687 - C/ EL FERROL - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862927 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.005,43","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139470150 - C/ BELGICA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862934 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.118,84","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 159641487 - C/ AROUSA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785953 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.445,50","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718809 - C/LUXEMBURGO - CONCEJALIA S. GENERALES - FACTURAION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862935 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"701,44","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139312568 - C/ ANDALUCIA 1 - CONCEJALIA S. GENERALES - FACTURACION ENE/FEB - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321225104937 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 20/02/2017,"625,05","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718718 - C/ PORTUGAL - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862932 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"861,31","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718519 - C/ LOGROÑO - CONCEJALIA S. GENERALES -  FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273210 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.549,94","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718574 - C/ MIGUEL DE CERVANTES - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223681324 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"505,48","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO  139763395 - C/ ALEMANIA - CONCEJALIA S. GENERALES - FACTURACION ENE/FEB - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321225199109 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 20/02/2017,"608,22","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO  20181856 - C/ CASTAÑERAS - CONCEJALIA S. GENERALES - FACTURACION NOV/DIC - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785951 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"2.157,94","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180960 - C/ POTRO - CONCEJALIA S. GENERALES - FACTURACION NOV/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223681399 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.626,86","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718581 - C/ MIGUEL DE CERVANTES - CONCEJALIA S. GENERALES - FACTURACION DIC/ ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273215 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"712,57","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718496 - C/ MADRID - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273208 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.200,53","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20181906 - C/ FLORES - CONCEJALIA S. GENERALES - FACTURACION NOV/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223088286 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 07/02/2017,"1.882,58","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139243344 - C/ ALICANTE - CONCEJALIA S GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273221 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"904,91","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139754564 - C/ CADIZ - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862923 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.385,67","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139545490 - C/ BENICARLO - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273219 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"381,90","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718645 - C/ SALOU - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223113442 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"818,11","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139754564 - C/ CADIZ - CONCEJALIA S. GENERALES - FACTURACION ENE/FEB - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321225199094 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 20/02/2017,"1.065,55","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718661 - C/ MALAGA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223056689 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.381,53","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139312568 - C/ ANDALUCIA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785901 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"674,54","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139162735 - CNO BOSQUE - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273213 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.720,41","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139451037 - C/ ALICANTE - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273220 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"750,97","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718684 - C/ COMILLAS - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862926 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 07/02/2017,"585,34","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139292521 - C/ BENIDORM - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273225 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"1.236,11","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718468 - C/ A5 - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862917 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.039,01","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 159644868 - C/ AYAMONTE - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785954 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"981,65","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139348372 - C/ BELGICA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862933 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"796,19","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718855 - C/ RAMON Y CAJAL - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273227 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"227,19","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718657 - C/ MALAGA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273224 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.228,26","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718603 - C/DOLORES CASTILLEJO - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273217 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.561,37","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139470150 - C/ BELGICA - CONCEJALIA S. GENERALES - FACTURACION ENE/FEB - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321225199106 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 20/02/2017,"903,07","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718705 - C/ ISLANDIA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862931 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.792,28","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718628 - C/ VALENCIA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223056687 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.181,96","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718600 - C/ MAYOR - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223113441 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"4.633,80","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718462 - C/ PS DE LA UNION EUROPEA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273205 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"574,94","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718491 - C/ MADRID - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273207 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"813,58","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 139067407 - C/ MARBELLA - CONCEJLIA  S. GENERALES - FACTURACION ENE/FEB - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321225104940 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 20/02/2017,"871,43","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180975 - C/ RAMON Y CAJAL - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223113499 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"284,89","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718700 - C/ CORCUBION - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222862930 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.228,71","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718669 - C/ CASTELLON DE LA PLANA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273226 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"684,80","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 186485666 - C/ BILBAO - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273302 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 08/02/2017,"390,56","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718565 - C/ MIGUEL DE CERVANTES - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223681322 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"459,65","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718577 - C/ MIGUEL DE CERVANTES - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223681325 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"749,68","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718557 - C/ GALAYOS - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273214 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"1.279,55","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20182135 - C/ ESPAÑA - CONCEJALIA S GENERALES - FACTURACION AGO/OCT - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223284596 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"4.683,90","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718590 - C/ MIGUEL DE CERVANTES - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223273216 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"682,56","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180946 - C/ ESPAÑA - CONCEJALIA S. GENERALES - FACTURACION NOV/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321223681400 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"163,22","0,00",,,,
,9201 .22100  ,,22/03/2017,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718838 - C/ MARBELLA - CONCEJALIA S. GENERALES - FACTURACION DIC/ENE - APROBADA POR DECRETO 521/2017 - NUMERO DE FAC.: FE17321222785904 DE FECHA OPERACION: 02/03/2017 Y FECHA REG. INTERVENCIÓN: 06/02/2017,"820,92","0,00",,,,
