#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Iluminación y sonido,3343,22751,18/03/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE. 10/12 MES DE FEBRERO SERVICIO DE ASISTENCIA TECNICA Y REALIZACION DE ACTIVIDADES ESCENICAS - NUMERO DE FAC.: 16F0004 DE FECHA OPERACION: 04/03/2016 Y FECHA REG. INTERVENCIÓN: 24/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 589/2016,373.22,0
Iluminación y sonido,3343,22751,20/04/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,ESPTE. 10/12 SERVICIO DE ASISTENCIA TECNICA PARA LA REALIZACION DE ACTIVIDADES ESCENICAS  MES DE MARZO - NUMERO DE FAC.: 16F0006 DE FECHA OPERACION: 11/04/2016 Y FECHA REG. INTERVENCIÓN: 30/03/2016 APROBADO POR DECREO 946/2016  Y DECRETO DE ORDENACIÓN DEL PAGO Nº 947/2016,373.22,0
Iluminación y sonido,3343,22751,20/05/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE. 10/12 MES DE ABRIL SERVICIO DE ASISTENCIA TECNICA ACTIVIDADES ESCENICAS  - APROBADA POR DECRETO Nº 1.239/2016 - NUMERO DE FAC.: 16F0011 DE FECHA OPERACION: 09/05/2016 Y FECHA REG. INTERVENCIÓN: 26/04/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1240/2016,373.22,0
Iluminación y sonido,3343,22751,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 10/12 - MAYO - ASISTENCIA TÉCNICA PARA LA REALIZACIÓN DE ACTIVIDADES ESCENICAS Y OTROS EVENTOS EN LOS AUDITORIOS MUNICIPALES - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 16F0016 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 31/05/2016 Y DECRETO ORDENACION PAGO 1632/2016,373.22,0
Iluminación y sonido,3343,22751,14/07/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE. 10/12 MES DE JUNIO  SERVICIO DE ASISTENCIA TECNICA PARA LA REALIZACION DE ACTIVIDADES ESCENICAS - APROBADA POR DECRETO 1772/2016 - NUMERO DE FAC.: 16F0024 DE FECHA OPERACION: 06/07/2016 Y FECHA REG. INTERVENCIÓN: 23/06/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1773/2016,373.22,0
Iluminación y sonido,3343,22751,12/08/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE. 10/12 MES DE JULIO 1 AL 26 -   SERVICIO DE ASISTENCIA TECNICA PARA LA REALIZACION DE ACTIVIDADES ESCENICAS - APROBADA POR DECRETO 2002/2016 - NUMERO DE FAC.: 16F0026 DE FECHA OPERACION: 04/08/2016 Y FECHA REG. INTERVENCIÓN: 26/07/2016,323.46,0
Iluminación y sonido,3343,22751,29/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE 14/16 ASISTENCIA TECNICA ACTIVIDADES ESCENICAS 25/11/2016 - EVENTO CONTRA LA VIOLENCIA DE GENERO EL 25/11/16 - APROBADA POR DECRETO 3047/2016 - NUMERO DE FAC.: 16F0048 DE FECHA OPERACION: 16/12/2016 Y FECHA REG. INTERVENCIÓN: 30/11/2016,571.12,0
Fiestas y eventos populares municipales,338,22735,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23/16 - ILUMINACION Y SONORIZACION DE ACTIVIDADES FESTIVAS Y ACTOS PROTOCOLARIOS - PREGÓN INICIO DE FIESTAS - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 16F0020 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,720,0
Fiestas y eventos populares municipales,338,22735,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23/16 - ILUMINACION Y SONORIZACIÓN DE ACTIVIDADES FESTIVAS Y ACTOS PROTOCOLARIOS - CONCIERTOS DE FIESTAS MERCHE Y EFECTO PASILLO - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 16F0019 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,9199.99,0
Fiestas y eventos populares municipales,338,22735,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23/16 - ILUMINACION Y SONORIZACIÓN DE ACTIVIDADES FESTIVAS Y ACTOS PROTOCOLARIOS - CONCURSO VARIOS Y ESPECTACULOS - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 16F0021 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,3680,0
Fiestas y eventos populares municipales,338,22735,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23/16 - ILUMINACIÓN SONORIZACIÓN DE ACTIVIDADES FESTIVAS Y ACTOS PROTOCOLARIOS - CONCURSO AUTOS LOCOS - APROBADA POR DECRETO 1537/2016 - NUMERO DE FAC.: 16F0015 DE FECHA OPERACION: 09/06/2016 Y FECHA REG. INTERVENCIÓN: 31/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1538/2016,960,0
Fiestas y eventos populares municipales,338,22735,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23/16 - ILUMINACIÓN Y SONORIZACIÓN DE ACTIVIDADES FESTIVAS Y ACTOS PROTOCOLARIOS - ENTREGA PREMIOS GYNKHANA - APROBADA POR DECRETO 1537/2016 - NUMERO DE FAC.: 16F0013 DE FECHA OPERACION: 09/06/2016 Y FECHA REG. INTERVENCIÓN: 31/05/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 1538/2016,720,0
Fiestas y eventos populares municipales,338,22735,30/06/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23/16 - ILUMINACION Y SONORIZACION DE ACTIVIDADE FESTIVAS Y ACTOS PROTOCOLARIOS - SOBREMESA CONCURSO DE PAELLAS - APROBADA POR DECRETO 1630/2016 - NUMERO DE FAC.: 16F0022 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 07/06/2016 Y DECRETO ORDENACION PAGO 1632/2016,1120,0
Otros gastos diversos,340,22699,15/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE 14/16 - PREPARACION GALA DEL DEPORTE 2016 - 21/10/16 - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: 16F0038 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 25/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,571.12,0
Otros gastos diversos,340,22699,15/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXPTE 14/16 - GALA DEL DEPORTE - 22/10/2016 -  - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: 16F0039 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 25/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016,571.12,0
Otros gastos institucionales,912,22608,13/12/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 23//16 - DIA DE LA GUARDIA CIVIL REALIZADO EL 12 DE OCTUBRE - APROBADA POR DECRETO Nº 2.935/2016 - NUMERO DE FAC.: 16F0035 DE FECHA OPERACION: 02/12/2016 Y FECHA REG. INTERVENCIÓN: 20/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2936/2016,639.99,0
Otros gastos institucionales,912,22608,03/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,EXP 14/16 - ASISTENCIA TÉCNICA PARA EL DESARROLLO DE ACTIVIDADES ESCENICAS Y OTROS EVENTOS A REALIZAR EN EL CENTRO DE LAS ARTES - JORNADAS DE ATENCIÓN PREHOSPITALARIA - 24/09/16 POR ALCALDIA - APROBADA POR DECRETO 2561/2016 - NUMERO DE FAC.: 16F0031 DE FECHA OPERACION: 21/10/2016 Y FECHA REG. INTERVENCIÓN: 04/10/2016 Y DECRETO DE PAGO Nº 2562/2016,571.12,0
Otros gastos institucionales,912,22608,15/11/2016,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,Este concepto recoge las personas físicas cuya identidad queda protegida en cumplimiento de la Ley Organica de Protección de Datos,"EXP 14/16 - MISA REALIZADA EL 12 DE OCTUBRE EN EL AUDITORIO ""CENTRO DE LAS ARTES"" - APROBADA POR DECRETO 2665/2016 - NUMERO DE FAC.: 16F0036 DE FECHA OPERACION: 03/11/2016 Y FECHA REG. INTERVENCIÓN: 20/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2666/2016",285.56,0
Combustibles y carburantes,320,22103,03/03/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","CONSUMO GAS C/ SERRANILLOS, 6, APROBADA CON DECRETO 306/2016 - NUMERO DE FAC.: P116002000001727 DE FECHA OPERACION: 04/02/2016 Y FECHA REG. INTERVENCIÓN: 26/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 402/2016",7.18,0
Combustibles y carburantes,320,22103,23/03/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.",ABONO A116002000000186 - A DESCONTAR NUMERO DE FAC.: P116002000005644 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016,7.18,0
Combustibles y carburantes,320,22103,12/04/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","EMBARGO AEAT   -   CONTRATO ES0237020000364338XAP001, C/ SERRRANILLO S, 6 COLEGIO EL TORREON, APROBADA CON DECRETO  777/2016 - NUMERO DE FAC.: P116002000005644 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016 Y Dº ORDENACION PAGO 858/2016",32.34,0
Combustibles y carburantes,320,22103,15/04/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","CONTRATO ES0237020000364338XAP001, C/ SERRRANILLO S, 6 COLEGIO EL TORREON, APROBADA CON DECRETO  777/2016 - NUMERO DE FAC.: P116002000005644 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016 Y Dº ORDENACION PAGO 858/2016",123.32,0
Combustibles y carburantes,320,22103,21/04/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","CONTADOR ES0237020000364711APP001 C/ BARCELONA, COLEGIO  FCO. DE ORELLANA, APROBADA CON DECRETO  777/2016 - NUMERO DE FAC.: P116002000005264 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",713.38,0
Combustibles y carburantes,320,22103,23/03/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.",ABONO A116002000000186  ANULA A LA FRA P116002000001727 YA PAGADA EL 3 DE MARZO- A DESCONTAR NUMERO DE FAC.: P116002000005644 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016,-7.18,0
Combustibles y carburantes,340,22103,03/03/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","CONTRATO ES0237020000372776DTP001, C/ MADRID S/N, APROBADA CON DECRETO 306/2016 - NUMERO DE FAC.: P116002000002287 DE FECHA OPERACION: 04/02/2016 Y FECHA REG. INTERVENCIÓN: 25/01/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 402/2016",16.35,0
Combustibles y carburantes,340,22103,14/09/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","COMPENSACION ABONO A116002000000138 DE 50,57 € - CONTRATO ES0237020000372776DTP001 - C/ MADRID - FACTURACION OCT 2015 - DEPORTES - APROBADO Dº 2208/2016 - NUMERO DE FAC.: P116002000011689 DE FECHA OPERACION: 13/09/2016 Y FECHA REG. INTERVENCIÓN: 22/08/2016",50.57,0
Combustibles y carburantes,340,22103,14/09/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.","COMPENSACION ABONO A116002000000137 DE 16,35 € -CONTRATO ES0237020000372776DTP001 - C/ MADRID - FACTURACION OCT 2015 - DEPORTES - APROBADO Dº 2208/2016 - NUMERO DE FAC.: P116002000011689 DE FECHA OPERACION: 13/09/2016 Y FECHA REG. INTERVENCIÓN: 22/08/2016",16.35,0
Combustibles y carburantes,340,22103,29/09/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.",CONTRATO ES0237020000372776DTP001 - C/ MADRID - FACTURACION OCT 2015 - DEPORTES - APROBADO Dº 2208/2016 - NUMERO DE FAC.: P116002000011689 DE FECHA OPERACION: 13/09/2016 Y FECHA REG. INTERVENCIÓN: 22/08/2016 Y DECRETO DE ORDENACION DEL PAGO Nº 2209/2016,916.46,0
Combustibles y carburantes,340,22103,14/09/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.",COMPENSACION ABONO A116002000000138 DE FECHA 27/01/2016- ANULA A LA FRA P115002000003624 DE 4/12/15 PAGADA CON EXP 1260/15 EL 28/01/16,-50.57,0
Combustibles y carburantes,340,22103,14/09/2016,A66036625,"GAS NATURAL MADRID, SDG, S.A.",COMPENSACION ABONO A116002000000137 DE 27/01/2016 QUE ANULA A LA FRA P116002000002287 PAGADA CON EXP 290/16 EL 3/3/2016,-16.35,0
Combustibles y carburantes,320,22103,09/08/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 184424645 - C/ SERRANILLOS 6 - ABRIL/MAYO - EDUCACION - APROBADO POR DECRETO 1804/2016 - NUMERO DE FAC.: FE16371081742221 DE FECHA OPERACION: 13/07/2016 Y FECHA REG. INTERVENCIÓN: 08/07/2016 Y DECRETO ORDENACION PAGO 1805/2016,33.94,0
Combustibles y carburantes,320,22103,09/08/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 21604161 - C/ BARCELONA S/N - FACTURACION MAR / MAY - EDUCACION - APROBADO POR DECRETO 1804/2016 - NUMERO DE FAC.: FE16371081574288 DE FECHA OPERACION: 14/07/2016 Y FECHA REG. INTERVENCIÓN: 17/06/2016 Y DECRETO ORDENACION PAGO 1805/2016,17541.62,0
Combustibles y carburantes,320,22103,20/10/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 183972544 - C/ BARCELONA S/N - FACTURACION MAY / JUL - EDUCACIÓN - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16371082765635 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 22/08/2016,1211.2,0
Combustibles y carburantes,320,22103,20/10/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 184424645 - C/ SERRANILLOS 6 - MAY/JUL - EDUCACION - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16371082581023 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 24/08/2016,44.2,0
Combustibles y carburantes,320,22103,29/12/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 184424645 - C/ SERRANILLOS 6 - JUL/SEP - EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16371083858440 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 10/10/2016,47.7,0
Combustibles y carburantes,320,22103,29/12/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 21604161 - C/ BARCELONA S/N - FACTURACION JUL /SEP - EDUCACION - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16371084149102 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 15/11/2016,374,0
Combustibles y carburantes,330,22103,14/07/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 21616060 - C/ MADRID 25 BJ - FACTURACION MAR / MAY - CULTURA - APROBADO POR DECRETO 1679/2016 - NUMERO DE FAC.: FE16371081560273 DE FECHA OPERACION: 23/06/2016 Y FECHA REG. INTERVENCIÓN: 17/06/2016 Y DECRETO ORDENACION PAGO 1680/2016,30.93,0
Combustibles y carburantes,330,22103,05/10/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.","CONTRATO 184173016 - C/ MADRID, 25 - FACTURACION MAY / JUL - CULTURA - APROBADO POR DECRETO 2208/2016 - NUMERO DE FAC.: FE16371082909775 DE FECHA OPERACION: 09/09/2016 Y FECHA REG. INTERVENCIÓN: 22/08/2016",66.66,0
Combustibles y carburantes,330,22103,29/12/2016,A65067332,"GAS NATURAL S.U.R. SDG, S.A.",CONTRATO 21616060 - C/ MADRID 25 BJ - FACTURACION JUL / SEP - CULTURA - APROBADO POR DECRETO 2872/216 - NUMERO DE FAC.: FE16371084785116 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 21/11/2016,165.1,0
Energía eléctrica,130,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTURACION DIC / ENE - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321194301394 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 08/03/2016,3068.93,0
Energía eléctrica,130,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTURACION ENE / FEB - TERCERA EDAD / SEGURIDAD CIUDADANA- APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321197119066 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 06/04/2016,2081.9,0
Energía eléctrica,130,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 139261025 - C/ CARCAVILLAS, 2 - FACTURACION MAR/ABR - TERCERA EDAD/ SEGURIDAD CIUDADANA -APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321199446037 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",2486.17,0
Energía eléctrica,130,22100,14/07/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18708483 - C/ CARCAVILLAS 2 - FACTURACION MAR / ABR - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADO POR DECRETO 1679/2016 - NUMERO DE FAC.: FE16321202141291 DE FECHA OPERACION: 23/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016 Y DECRETO ORDENACION PAGO 1680/2016,2388.85,0
Energía eléctrica,130,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 - FACTURACION ABR / MAY - TERCERA EDAD / SEGURIDAD CIUDADANA  - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321204401405 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 15/07/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,2396.44,0
Energía eléctrica,130,22100,08/09/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 - FACTURACION MAY / JUN - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADO POR DECRETO 2113/2016 - NUMERO DE FAC.: FE16321207123550 DE FECHA OPERACION: 23/08/2016 Y FECHA REG. INTERVENCIÓN: 10/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2114/2016,1915.24,0
Energía eléctrica,130,22100,20/10/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTURACION JUN / JUL - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADA POR DECRETO 2430/2016 - NUMERO DE FAC.: FE16321209349919 DE FECHA OPERACION: 06/10/2016 Y FECHA REG. INTERVENCIÓN: 05/09/2016,1934.08,0
Energía eléctrica,130,22100,17/11/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCARVILLAS  2 - FACTURACION JUL / AGO - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADA POR DECRETO 2587/2016 - NUMERO DE FAC.: FE16321212244611 DE FECHA OPERACION: 26/10/2016 Y FECHA REG. INTERVENCIÓN: 06/10/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2616/2016,1082.39,0
Energía eléctrica,130,22100,29/12/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - PS CARCAVILLAS - FACTURACION AGO/SEP - CONCEJALIA TERCERA EDAD/S. CIUDADANA - APROBADO POR DECRETO 2872/2016 - NUMERO DE FAC.: FE16321214301889 DE FECHA OPERACION: 25/11/2016 Y FECHA REG. INTERVENCIÓN: 07/11/2016,3404.65,0
Energía eléctrica,130,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTUACION OCT/NOV - TECERA EDAD / SEGURIDAD CIUDADANA - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321190950723 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 11/01/2016,2041.57,0
Energía eléctrica,130,22100,11/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 18718483 - C/ CARCAVILLAS 2 BJ - FACTURACION NOV / DIC - TERCERA EDAD / SEGURIDAD CIUDADANA - APROBADO POR REC 01/2016 POR PLENO DE FECHA 25/02/16 - NUMERO DE FAC.: FE15321190950724 DE FECHA OPERACION: 25/02/2016 Y FECHA REG. INTERVENCIÓN: 12/01/2016,2146.73,0
Energía eléctrica,151,22100,03/03/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 201180969 - C/ POTRO 21 - FACTURACION DIC / ENE - URBANISMO - APROBADO POR DECRETO 469/2016 - NUMERO DE FAC.: FE16321192507770 DE FECHA OPERACION: 24/02/2016 Y FECHA REG. INTERVENCIÓN: 04/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 470/2016,1947.17,0
Energía eléctrica,151,22100,07/04/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 201180969 - C/ POTRO 21 BJ - FACTURACION ENE / FEB - URBANISMO - APROBADO POR DECRETO 791/2016 - NUMERO DE FAC.: FE16321195404741 DE FECHA OPERACION: 28/03/2016 Y FECHA REG. INTERVENCIÓN: 10/03/2016,1643.54,0
Energía eléctrica,151,22100,25/05/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ - FACTURACION FEB / MAR - URBANISMO - APROBADO Dº 1190/2016 - NUMERO DE FAC.: FE16321198008430 DE FECHA OPERACION: 03/05/2016 Y FECHA REG. INTERVENCIÓN: 08/04/2016,1878.53,0
Energía eléctrica,151,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ - FACTURACION ABR / MAY - URBANISMO - APROBADO POR DECRETO 1621/2016 - NUMERO DE FAC.: FE16321202799928 DE FECHA OPERACION: 17/06/2016 Y FECHA REG. INTERVENCIÓN: 06/06/2016,1505.26,0
Energía eléctrica,151,22100,24/06/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.","CONTRATO 159638183 - C/ POTRO, 21 - FACTURACION MAR/ABR - URBANISMO- APROBADO Dº 1515/2016 - NUMERO DE FAC.: FE16321200251576 DE FECHA OPERACION: 08/06/2016 Y FECHA REG. INTERVENCIÓN: 10/05/2016",1669.7,0
Energía eléctrica,151,22100,12/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ - FACTURACION MAY / JUN - URBANISMO - APROBADO POR DECRETO 1971/2016 - NUMERO DE FAC.: FE16321205144429 DE FECHA OPERACION: 02/08/2016 Y FECHA REG. INTERVENCIÓN: 18/07/2016,1220.15,0
Energía eléctrica,151,22100,22/08/2016,A08431090,"GAS NATURAL SERVICIOS SDG, S.A.",CONTRATO 20180969 - C/ POTRO 21 BJ  - FACTURACION JUN / JUL - URBANISMO - APROBADO POR DECRETO 2037/2016 - NUMERO DE FAC.: FE16321207590615 DE FECHA OPERACION: 09/08/2016 Y FECHA REG. INTERVENCIÓN: 05/08/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 2038/2016,1396.49,0
